parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode,power_density_nW,experiment_time_s
saturation,4,,1093.8205415459076,1079.4419460720637,1108.7678825049397,0.95,1094.0511649241078,1094.629756683555,3.145912743951723,468.0
saturation,5,,1239.1544387361644,1194.9273555326463,1281.400283369369,0.95,1238.6227287374454,1262.5695817482938,0.08981012365831499,644.4
saturation,6,,303.5857719370076,283.4211893468925,323.75025726480123,0.95,303.6237351504183,307.0390092340009,0.08981012365831499,792.0
saturation,7,,44.121569499235605,33.574044465878465,54.753206250350644,0.95,43.66469223518863,44.1529730008182,0.022175339174892592,910.8
saturation,8,,0.6926662914672098,0.0031191844328877835,3.1510260903073433,0.95,1.0722724531249566,2.131222890966247,1.3859586984307867e-05,1105.2
saturation,9,,0.3158419947053809,0.0011950097225387419,1.2355763469456442,0.95,0.4309998938831827,0.48948072067773873,1.3859586984307867e-05,1260.0
saturation,10,,86.25271372025256,78.99880079316051,93.31963990456609,0.95,86.27110199877026,85.83373083586567,0.030906878975006543,1436.4
saturation,11,,85.57460749053003,79.03768572055888,92.52056721960274,0.95,85.66683984047026,85.68397152503057,0.030906878975006543,1638.0
saturation,12,,215.32470936805157,203.37388800362768,227.16788148276103,0.95,215.65496056716768,215.6421255051018,0.06682573169467801,1810.8
saturation,13,,215.8101115503601,203.6451416864831,227.4223372557951,0.95,216.15892469694387,215.68721396865422,0.06682573169467801,2012.4
saturation,14,,296.875596572889,259.63751278760964,314.8139646746604,0.95,295.06965023744624,299.156906296747,0.1083782783324549,2203.2
saturation,15,,297.3852227850556,258.68017904589885,314.1685736919825,0.95,295.4470756528733,299.641423260069,0.1083782783324549,2376.0
saturation,16,,382.02771361402404,361.6204152878666,405.00005151615056,0.95,382.2761197149305,366.6430840853405,0.17576838915843104,2563.2
saturation,17,,381.49505269706935,359.6071973944152,404.39504295837725,0.95,381.64230507199403,367.63399622910634,0.17576838915843104,2743.2
saturation,18,,448.9988765775197,436.17766261808606,462.4699844393942,0.95,449.0003899381225,447.05251944812136,0.2850619801560182,3024.0
saturation,19,,446.4675947216698,431.30868224468077,460.3609611236792,0.95,446.3896445634302,446.90919096226213,0.2850619801560182,3315.6
saturation,20,,641.4886667625858,623.928359332982,657.5297959289157,0.95,641.21152799466,638.5695750685989,0.4623148275952227,3546.0
saturation,21,,641.1358907024601,623.2776442083034,657.6014073170965,0.95,640.8918945018575,637.4551680319719,0.4623148275952227,3736.8
saturation,22,,511.789672968472,494.64564354651674,531.5075623640577,0.95,512.2932880221978,513.6137435597522,0.7167760902209894,3906.0
saturation,23,,512.0942160463375,495.64801140648444,532.1585873928315,0.95,512.7353933847338,513.5922942044156,0.7167760902209894,4140.0
saturation,24,,839.3147663661337,822.5684098444558,855.7929791091017,0.95,839.0247486371253,829.6374663372279,1.1960507914349403,4482.0
saturation,25,,839.341930747019,822.7992520853123,855.8721030773852,0.95,839.1941709024505,829.6651624012828,1.1960507914349403,4662.0
saturation,26,,985.0427163794197,970.252184882526,998.8870668930016,0.95,984.9792090668454,984.9331082903493,1.9397606623469608,4834.8
saturation,27,,943.8185012315607,908.0572548428873,970.9872493682534,0.95,942.461495093709,957.6616538513192,1.9397606623469608,4982.4
saturation,28,,1005.5267048856273,984.0726113876219,1026.124302926075,0.95,1005.5272718185307,991.4996778099588,3.145912743951723,5126.4
saturation,29,,942.580626579934,922.9290956192239,966.4303136811943,0.95,942.9912899378742,952.0972710528289,3.145912743951723,5414.4
saturation,30,,521.3350403849931,505.0224078379932,539.0411102294472,0.95,521.3146479070182,533.6801678317397,3.146126245437886,5623.2
saturation,31,,553.3659193462952,536.7921803169351,569.705140511953,0.95,553.5369801425365,555.3961321565422,3.146126245437886,5785.2
saturation,32,,271.753570821118,257.93439958192045,300.49164562783346,0.95,275.50917456897673,292.081241433267,0.030906878975006543,5954.4
saturation,33,,0.3256012832201303,0.0029141461313418673,472.05596762331515,0.95,114.548549653943,463.4863805048423,1.3859586984307867e-05,6426.0
saturation,34,,0.4942077788368631,0.0003557505283999512,1.871532684147245,0.95,0.6660597902929548,1.4912613085364954,1.3859586984307867e-05,6645.6
saturation,35,,0.24263722294928455,0.0017187709790875273,0.8701782651694792,0.95,0.3233881970044785,0.014671290437551464,1.3859586984307867e-05,7034.4
sigma,1,,33.64526790616236,32.716612293794626,34.71125869717937,0.95,33.69305319594006,34.1584367059866,1.9397606623469608,0.0
